"YEAR","CARB_ACRE","CARB_TOTAL","AREA_TOTAL","CARB_ACRE_VAR","CARB_TOTAL_VAR","AREA_TOTAL_VAR","nPlots_TREE","nPlots_AREA","N","STATEFP","COUNTYFP","COUNTYNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","polyID"
2020,48.6326440661257,593336.655253877,12200.3782983117,102.859249777885,97423969404.7517,41644298.5564194,4,4,3683,"31","039","00835841","31039","Cuming","Cuming County","06","H1","G4020",NA,NA,NA,"A",1477652222,10690952,"+41.9158651","-096.7885168",1
2020,119.509276434782,15132463.308572,126621.662853343,124.98817551799,13195360773621.5,768573741.761877,22,22,5858,"53","069","01513275","53069","Wahkiakum","Wahkiakum County","06","H1","G4020",NA,NA,NA,"A",680962890,61582307,"+46.2946377","-123.4244583",2
2020,23.216744042189,1176487.32392283,50674.0877094972,0.54918521444454,168761279130.007,306135079.20815,7,7,217,"35","011","00933054","35011","De Baca","De Baca County","06","H1","G4020",NA,NA,NA,"A",6016819475,29089486,"+34.3592729","-104.3686961",3
2020,57.9929137239663,541476.311655006,9336.93923765093,8.57637612620067,103420885006.323,28254693.4809244,4,4,3683,"31","109","00835876","31109","Lancaster","Lancaster County","06","H1","G4020","339","30700",NA,"A",2169270569,22849484,"+40.7835474","-096.6886584",4
2020,59.9641168312901,401439.543621211,6694.66282227865,0,149536547968.033,41587658.3486062,1,1,3683,"31","129","00835886","31129","Nuckolls","Nuckolls County","06","H1","G4020",NA,NA,NA,"A",1489645188,1718484,"+40.1764918","-098.0468422",5
2020,66.76384281195,218743.509517785,3276.37685766393,0,55793957754.8438,12517122.9267676,1,1,6056,"46","099","01265772","46099","Minnehaha","Minnehaha County","06","H1","G4020",NA,"43620",NA,"A",2089691755,18198481,"+43.6674723","-096.7957261",6
2020,30.0507381475355,15658078.6548299,521054.710135767,0.3701794561509,3526723387611.91,3788667876.21412,73,73,4184,"48","327","01383949","48327","Menard","Menard County","06","H1","G4020",NA,NA,NA,"A",2336237982,613559,"+30.8852677","-099.8588613",7
2020,84.3493044840906,39352189.0906497,466538.394493484,22.9444335177809,19304713517879.7,2006761257.86231,86,86,15929,"06","091","00277310","06091","Sierra","Sierra County","06","H1","G4020",NA,NA,NA,"A",2468694583,23299110,"+39.5769252","-120.5219926",8
2020,57.3855483900875,4655232.19496841,81122.0302945216,16.7438920190977,1503971717697.21,410158757.496744,17,17,803,"21","053","00516873","21053","Clinton","Clinton County","06","H1","G4020",NA,NA,NA,"A",510875755,21152699,"+36.7272577","-085.1360977",9
2020,79.5245278797719,1843575.70150467,23182.4790496318,63.3484732587096,867871283321.214,142568378.295788,4,4,1202,"39","063","01074044","39063","Hancock","Hancock County","06","H1","G4020","534","22300",NA,"A",1376125660,6020647,"+41.0004711","-083.6660335",10
2020,23.4822041111321,44607.7323361738,1899.63991987561,0,1997859192.98833,3623157.04601924,1,1,6865,"48","189","01383880","48189","Hale","Hale County","06","H1","G4020","352","38380",NA,"A",2602109427,246678,"+34.0684364","-101.8228879",11
2020,52.7585914350697,16321853.4309802,309368.635268961,4.60227232415126,4965537953755.74,1642404377.35412,56,56,1178,"01","027","00161539","01027","Clay","Clay County","06","H1","G4020",NA,NA,NA,"A",1564251834,5285207,"+33.2703999","-085.8635254",12
2020,26.9264981474402,3708039.33737653,137709.676062316,0.615398384375898,640675772971.941,867377440.657816,23,23,6865,"48","011","01383791","48011","Armstrong","Armstrong County","06","H1","G4020","108","11100",NA,"A",2354581674,12219583,"+34.9641790","-101.3566363",13
2020,73.202212048744,1833924.20309559,25052.8522536233,174.3518402355,746777452678.339,117183405.204309,7,7,1202,"39","003","01074015","39003","Allen","Allen County","06","H1","G4020","338","30620",NA,"A",1042479889,11259523,"+40.7716274","-084.1061032",14
2020,69.9543136642682,8115048.967764,116004.983005202,21.1018756747435,3381277532951.47,642547039.372464,22,22,1750,"13","189","00348794","13189","McDuffie","McDuffie County","06","H1","G4020",NA,"12260",NA,"A",666848710,23114025,"+33.4796231","-082.4787331",15
2020,83.5776044778127,16385300.6748458,196048.93891396,6.18683702475968,3686184801027.65,496437200.284367,77,77,1974,"55","111","01581115","55111","Sauk","Sauk County","06","H1","G4020","357","12660",NA,"A",2153685971,45692999,"+43.4280010","-089.9433184",16
2020,48.5125086119664,16215625.6654508,334256.589267598,2.11592273018369,4550639005866.51,1840614606.68434,60,60,1796,"05","137","00069902","05137","Stone","Stone County","06","H1","G4020",NA,NA,NA,"A",1570754768,7842161,"+35.8570011","-092.1404819",17
2020,74.2921931797628,71356318.4723917,960482.056300758,2.48625151500799,17317381460609.2,2991280429.25221,347,349,15061,"41","063","01155135","41063","Wallowa","Wallowa County","06","H1","G4020",NA,NA,NA,"A",8147835329,14191752,"+45.5937530","-117.1855796",18
2020,67.8529083289377,8318871.87489003,122601.552089142,23.6868838795609,3668754020923.68,726169119.232577,21,21,781,"42","007","01214112","42007","Beaver","Beaver County","06","H1","G4020","430","38300",NA,"A",1125901370,24162727,"+40.6841401","-080.3507209",19
2020,46.4471319858886,15010536.2739968,323174.664014932,5.35670723806254,4003688600659.95,1664924808.72255,66,66,1578,"28","061","00695754","28061","Jasper","Jasper County","06","H1","G4020","279","29860",NA,"A",1751454613,3178416,"+32.0169894","-089.1194302",20
2020,54.2459179936985,6131874.23556463,113038.445331074,8.25515404101914,1701092391780.11,537707395.621291,28,28,3194,"29","083","00758496","29083","Henry","Henry County","06","H1","G4020",NA,NA,NA,"A",1805078265,91634021,"+38.3864909","-093.7926278",21
2020,46.3939948541246,43238865.9070202,931992.729726658,1.73990792761681,3221432495837.89,1006246649.073,173,173,337,"08","109","00198170","08109","Saguache","Saguache County","06","H1","G4020",NA,NA,NA,"A",8206547705,4454510,"+38.0316514","-106.2346662",22
