"STATECD","ESTN_UNIT_CN","AREA_USED","STRATUM_CN","STRATUM_WGT","pltID","YEAR","BOLE_CF_ACRE"
23,755864767290487,97575.1,755758292290487,1,"1_23_29_2467",2002,1494.805438942
23,755864767290487,97575.1,755758292290487,1,"1_23_29_2467",2007,1734.87007822857
23,755864767290487,97575.1,755758292290487,1,"1_23_29_2467",2012,1660.00658498421
23,755864767290487,97575.1,755758292290487,1,"1_23_29_2467",2017,1951.87873474466
23,755864767290487,97575.1,755758292290487,1,"1_23_29_205",1999,2618.54352962104
23,755864767290487,97575.1,755758292290487,1,"1_23_29_205",2004,2600.38148805626
23,755864767290487,97575.1,755758292290487,1,"1_23_29_205",2009,2877.29804125096
23,755864767290487,97575.1,755758292290487,1,"1_23_29_205",2014,2815.99451156058
23,755864767290487,97575.1,755758292290487,1,"1_23_29_205",2019,2810.06877035012
23,755864767290487,97575.1,755758292290487,1,"1_23_29_1210",2000,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_1210",2005,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_1210",2009,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_1210",2015,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_985",1999,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_985",2004,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_985",2009,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_985",2014,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_985",2019,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_562",2001,455.477358147822
23,755864767290487,97575.1,755758292290487,1,"1_23_29_562",2006,791.895830637974
23,755864767290487,97575.1,755758292290487,1,"1_23_29_562",2011,1189.71577651716
23,755864767290487,97575.1,755758292290487,1,"1_23_29_562",2016,1648.93056991673
23,755864767290487,97575.1,755758292290487,1,"1_23_29_545",1999,1454.61777028044
23,755864767290487,97575.1,755758292290487,1,"1_23_29_545",2004,1758.70610206744
23,755864767290487,97575.1,755758292290487,1,"1_23_29_545",2009,2103.51578283528
23,755864767290487,97575.1,755758292290487,1,"1_23_29_545",2014,2108.65227536697
23,755864767290487,97575.1,755758292290487,1,"1_23_29_545",2019,2296.22494171785
23,755864767290487,97575.1,755758292290487,1,"1_23_29_3295",2003,611.760006757914
23,755864767290487,97575.1,755758292290487,1,"1_23_29_3295",2008,489.551865592352
23,755864767290487,97575.1,755758292290487,1,"1_23_29_3295",2013,491.95287336888
23,755864767290487,97575.1,755758292290487,1,"1_23_29_3295",2018,474.429635350908
23,755864767290487,97575.1,755758292290487,1,"1_23_29_771",1999,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_771",2004,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_771",2009,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_771",2014,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_771",2019,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_1820",2001,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_1820",2006,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_1820",2011,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_1820",2016,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_2169",2002,1609.00223691145
23,755864767290487,97575.1,755758292290487,1,"1_23_29_2169",2007,1969.05869740074
23,755864767290487,97575.1,755758292290487,1,"1_23_29_2169",2012,2186.22178901328
23,755864767290487,97575.1,755758292290487,1,"1_23_29_2169",2017,2230.14641148291
23,755864767290487,97575.1,755758292290487,1,"1_23_29_2533",2002,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_2533",2007,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_2533",2012,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_2533",2017,0
23,755864767290487,97575.1,755758292290487,1,"1_23_29_344",2000,193.818928691294
23,755864767290487,97575.1,755758292290487,1,"1_23_29_344",2005,361.982716652978
23,755864767290487,97575.1,755758292290487,1,"1_23_29_344",2010,513.359556470652
23,755864767290487,97575.1,755758292290487,1,"1_23_29_344",2014,635.65908768277
23,755864767290487,97575.1,755758292290487,1,"1_23_29_2667",2002,4482.4745401217
